,mean_mfccs,mean_chroma_stft,tempo,pulse,flatness,contrast,zero_crossing,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
769,1.3619157473648378,1.446689027403837,-0.6427745298792317,1.052749796073114,0.04014251008629799,-2.241698313427122,-0.19750753975383992,0,0,0,0,0,0,0,1,0,0
671,0.5451579789103697,1.2406744794081264,-1.6732357932796593,-0.8827189001967553,0.021076137199997902,-0.6057026250245295,1.19612055747878,0,0,0,0,0,0,1,0,0,0
535,-0.743907967645392,-1.3969590623169967,0.0932692296925024,-1.0702967109861683,9.185035742120816e-05,0.7645922974819128,-1.5763439644123478,0,0,0,0,0,1,0,0,0,0
183,-2.381096995898414,-1.6387753250633146,0.0932692296925024,-1.515043158527132,0.0001467127731302753,0.7982634079263302,-1.2645282911000297,0,1,0,0,0,0,0,0,0,0
882,0.9998737572126829,1.1597154941994563,-1.0391057850332424,0.6585016631493606,0.04426693916320802,-1.267575696885684,-0.10338199403223423,0,0,0,0,0,0,0,0,1,0
913,0.6330924100123766,0.7553606836258868,0.0932692296925024,-1.1614385147876167,0.002766573335975409,0.9519740019909125,-1.3760791486589432,0,0,0,0,0,0,0,0,0,1
448,0.850282109281303,0.4601891786859642,-1.2152530095461358,-0.8523397221025056,0.029689202085137367,-1.7544221006616323,-0.6236520188889899,0,0,0,0,1,0,0,0,0,0
354,-0.921081895755456,0.27561620972114476,-0.4187612117487038,0.7087306099504805,0.012274913489818571,0.4703801822485875,0.26052922854110283,0,0,0,1,0,0,0,0,0,0
342,0.37864495875478277,0.18784054386574525,-0.6427745298792317,-0.03251489245735883,0.037913136184215546,-1.126662949137791,0.42973153188887236,0,0,0,1,0,0,0,0,0,0
989,-0.06677071662261584,-0.43278430801337336,-0.6427745298792317,1.2050474094401151,0.003172192256897688,1.4556192084555453,-0.727374113158678,0,0,0,0,0,0,0,0,0,1
472,0.9715119646955205,0.7255605600512446,-1.0391057850332424,0.5476428338587683,0.013391832821071148,-1.064804217465356,-1.243062327242477,0,0,0,0,1,0,0,0,0,0
647,1.249549108747989,0.6413299038752882,-0.8488667825593171,-0.2916890385831544,0.02636589482426644,-0.21593447861848436,1.7801030061547598,0,0,0,0,0,0,1,0,0,0
642,0.1345873007145841,0.7101072519519976,0.38768673352119604,1.1025968150197243,0.012669539079070093,0.19826077419806698,1.1535133250153013,0,0,0,0,0,0,1,0,0,0
979,0.22310863583856763,-0.2282481246677982,0.0932692296925024,1.3100255589301986,0.008466891013085842,0.6669812500048188,0.13018212363801304,0,0,0,0,0,0,0,0,0,1
307,0.6798461176330545,0.6477601149677136,0.38768673352119604,1.9728776522331575,0.06399733573198317,-0.7942131704414878,0.8761153483754293,0,0,0,1,0,0,0,0,0,0
403,1.190482624102383,1.0850155640671868,-1.3788182894509657,1.2148284886410132,0.017552575096488,-0.3875728884613234,-0.004205633285322005,0,0,0,0,1,0,0,0,0,0
196,-0.7237898104943827,-1.0485605909609388,0.7130955535423843,-0.8241577935858855,0.0024677535984665155,0.8401465152667028,0.3335135056567825,0,1,0,0,0,0,0,0,0,0
524,-0.4251101159881859,-0.3636044331015366,-0.8488667825593171,0.456148600695638,0.006010206881910562,0.3978733947251922,-0.24985562976612424,0,0,0,0,0,1,0,0,0,0
909,0.15603885888967162,-0.029522122412035313,1.478763365356941,0.7174194686406117,0.002343592932447791,0.8336413543076061,-1.4615461543371662,0,0,0,0,0,0,0,0,0,1
736,1.4120959027372144,0.19374305432027578,-1.0391057850332424,-0.42190625379218943,0.041240770369768136,-0.8856303032434811,0.2716410215967773,0,0,0,0,0,0,0,1,0,0
579,-0.0605160652797967,-0.4939026980766482,-0.6427745298792317,1.364367992928585,0.021892020478844643,-0.027611962304060617,0.0999133107363545,0,0,0,0,0,1,0,0,0,0
746,0.8611840506562307,0.44589746887884046,-0.17438304651540126,-0.1301444239906708,0.04429610818624497,-0.7219516772266656,0.4414566381976197,0,0,0,0,0,0,0,1,0,0
126,-2.0379645382057547,-1.6280620167809783,1.478763365356941,-1.6774983450166514,0.0005482842680066824,1.3964570342548102,-0.52411488564027,0,1,0,0,0,0,0,0,0,0
306,0.7689371471505904,1.1668985727994674,0.0932692296925024,-0.3024959666859569,0.05152563750743866,-1.1654665991752284,1.4340860996710802,0,0,0,1,0,0,0,0,0,0
976,0.49405246590755997,-0.40530117707356605,-1.2152530095461358,0.848064411995655,0.003127753734588623,0.7643310521323081,-0.7767638686561399,0,0,0,0,0,0,0,0,0,1
988,-0.49213685291237974,0.361956208695864,-1.3788182894509657,-0.22461063030623343,0.01611119881272316,0.16439293372881006,1.3876186014382599,0,0,0,0,0,0,0,0,0,1
855,0.624726575551962,1.01733120590091,0.38768673352119604,0.9725915231933746,0.03359024226665497,-1.544909724856652,-0.5137246375882109,0,0,0,0,0,0,0,0,1,0
846,-0.32953747572004066,-0.6660586447702,2.4486092603220513,0.6825996029615401,0.02374168485403061,-0.736465502980852,-0.5429472102346273,0,0,0,0,0,0,0,0,1,0
966,-1.584674678996524,-0.2261760055654834,1.478763365356941,0.3936560436392947,0.0074764275923371315,0.6098248458147043,0.08375070265537353,0,0,0,0,0,0,0,0,0,1
321,0.0849592066106646,0.27779270114879634,-0.6427745298792317,1.394044252989786,0.04985814169049263,-1.413607015865019,0.48777982742971693,0,0,0,1,0,0,0,0,0,0
618,0.5383423047034391,2.1658632506928712,-1.0391057850332424,-1.596294428193767,0.005373319610953331,-0.48795750415071404,1.8306472336580062,0,0,0,0,0,0,1,0,0,0
735,1.3802374432394822,0.4076515805305329,-0.6427745298792317,-0.2185933259073635,0.0959565043449402,-1.7647559868513751,1.3298228466486808,0,0,0,0,0,0,0,1,0,0
330,0.5272302625690276,0.8751655155844503,0.7130955535423843,0.49131623807962754,0.07529115676879883,-1.3045958403134985,1.1254091471244885,0,0,0,1,0,0,0,0,0,0
969,-1.134806580068988,-0.8227751510161231,2.4486092603220513,-1.8968980430824474,0.009971318766474724,1.2883133908706983,0.8115731478020477,0,0,0,0,0,0,0,0,0,1
156,0.15436115362161829,-0.8037465433667933,-0.4187612117487038,-0.6514161721367555,0.005331005435436964,0.25740055505810816,-0.16078089906982512,0,1,0,0,0,0,0,0,0,0
395,0.008445216040853793,1.0929628232589996,0.0932692296925024,0.7209856811683042,0.010365485213696957,0.7126403291036146,0.342352431951069,0,0,0,1,0,0,0,0,0,0
659,1.0008420678479542,1.0891930116480606,-1.0391057850332424,0.02029556060428598,0.01315446849912405,-0.05418774978024105,1.1034381017644048,0,0,0,0,0,0,1,0,0,0
850,0.2807714668736099,0.9959750224089294,-1.2152530095461358,1.272591971531333,0.09026984870433807,-1.1278211820572912,0.557228534027682,0,0,0,0,0,0,0,0,1,0
29,-1.5557896534414946,-1.2040206149826165,0.38768673352119604,-1.2221351570240153,0.0014890776947140696,2.7228133924390883,-1.2143087588484105,1,0,0,0,0,0,0,0,0,0
107,-1.2159472427644789,-1.2507794167334771,-0.6427745298792317,-0.5722383360054855,0.0007991205202415586,1.0792842509501486,-0.7301520614225966,0,1,0,0,0,0,0,0,0,0
920,0.2476535050705837,0.2360645724915258,-1.0391057850332424,-0.8718172664064527,0.0104761915281415,-0.14227699625564666,0.33120456164521384,0,0,0,0,0,0,0,0,0,1
891,-0.09370570824540803,0.23535367287699507,1.0746609091214812,0.33458181850844276,0.02254704013466835,-1.086854725853391,0.48171884939934906,0,0,0,0,0,0,0,0,1,0
296,1.0652307337824007,-0.6482244798510345,-0.17438304651540126,1.3036057553594504,0.0033122480381280184,1.6618051584968696,-0.14833424775746254,0,0,1,0,0,0,0,0,0,0
951,0.8982588752882589,-0.12172229901003162,-1.531103205224428,0.9664682571031615,0.0632098913192749,-1.6537164852471975,0.41263091530319157,0,0,0,0,0,0,0,0,0,1
945,-0.9208986667299551,-0.21365497590707883,1.478763365356941,0.4477721931466474,0.0018332762410864234,0.013659457673549136,-0.5905691804732319,0,0,0,0,0,0,0,0,0,1
316,1.1668161913901662,0.6926836425083699,0.0932692296925024,1.2310596461816148,0.03725656494498253,-1.2377271543155355,0.2787482398823872,0,0,0,1,0,0,0,0,0,0
295,0.34157157285117157,-0.60997384730612,-1.531103205224428,1.031568325670282,0.0026030016597360373,1.7142627808214386,-0.8655499813509929,0,0,1,0,0,0,0,0,0,0
993,-0.1347963487635919,-0.43143987568281195,-0.8488667825593171,-0.23164175132703776,0.00479334918782115,1.175192892958159,-0.1283474511573209,0,0,0,0,0,0,0,0,0,1
734,0.39048831582570154,-0.46254501826236466,-1.2152530095461358,0.6745535009046123,0.05373673886060715,-0.8191728954584001,0.652364242754349,0,0,0,0,0,0,0,1,0,0
458,0.16130112990285517,1.561055550298876,2.4486092603220513,1.1099124412410943,0.055536821484565735,-1.7337160479498361,0.7764699833761671,0,0,0,0,1,0,0,0,0,0
49,-0.6663329380733012,-1.2380766478512346,0.0932692296925024,0.38327490299218425,0.0010642734123393893,0.9327403107338738,-1.5232382521462675,1,0,0,0,0,0,0,0,0,0
683,0.8378053636274246,0.9652574441982859,-0.17438304651540126,-0.13011026784108037,0.010884822346270084,0.26308531020807496,0.4584129457825774,0,0,0,0,0,0,1,0,0,0
73,1.208869294808765,-0.4506443835447722,-1.0391057850332424,1.258063187537364,0.006052607670426369,0.867416637229766,-0.07462842563816764,1,0,0,0,0,0,0,0,0,0
329,0.17549991744546145,0.06515999888741343,-0.8488667825593171,-1.268439251726743,0.05859586223959923,-0.746374620664414,0.8342296609155656,0,0,0,1,0,0,0,0,0,0
591,-1.544029765824062,-1.8082188685818121,-0.17438304651540126,-0.8793471448388894,0.00884862057864666,0.39849088199977967,1.1442775489690264,0,0,0,0,0,1,0,0,0,0
731,0.5888270528048843,-0.15429850747571236,-1.2152530095461358,0.7288012292154981,0.07842180877923965,-1.5034283928925345,1.175628679376108,0,0,0,0,0,0,0,1,0,0
277,-0.08643630086527349,-0.5059810576978728,-1.3788182894509657,1.0075208438063594,0.0015371136832982302,1.2482106244599325,-0.3789400309128874,0,0,1,0,0,0,0,0,0,0
139,-2.5146564753832163,-1.3210000953930783,0.38768673352119604,-2.724019480183853,0.0012251012958586214,0.7854785862201399,0.1269712483719253,0,1,0,0,0,0,0,0,0,0
414,0.8282036150461667,1.3594406972481283,0.7130955535423843,0.3760008075436116,0.011404432356357573,0.18135281090111996,0.7211635588490604,0,0,0,0,1,0,0,0,0,0
520,-1.4077879396427413,-1.0960156947983126,-0.6427745298792317,-0.9997964775411877,0.0008911140612326562,0.10507041850782155,-1.6904563067340952,0,0,0,0,0,1,0,0,0,0
744,0.8680413087554734,0.9469678364049229,-0.17438304651540126,1.4242848657953564,0.06086873635649681,-1.009237307743748,0.7638068685627201,0,0,0,0,0,0,0,1,0,0
771,0.6777001845831278,0.8396508247285212,-0.4187612117487038,1.2902483720412081,0.1115538328886032,-1.632155534450373,2.085424774434541,0,0,0,0,0,0,0,1,0,0
59,0.7610556072395936,0.3325520430687398,-0.6427745298792317,1.3769879139261247,0.005861847195774317,0.6383038664475089,0.9215726836031882,1,0,0,0,0,0,0,0,0,0
987,0.7080532236400867,0.17346599308711094,0.38768673352119604,-0.5495951376554057,0.009496577084064484,0.3495792578490775,0.594821028716035,0,0,0,0,0,0,0,0,0,1
419,0.9263068393681272,0.6534619094119831,0.7130955535423843,0.1259801213699898,0.025579879060387608,-0.7428556426927299,-0.08418889693606933,0,0,0,0,1,0,0,0,0,0
911,0.322689538668679,-0.43415501589436917,-0.17438304651540126,0.03229601325243619,0.002355918288230896,0.931684228622107,-1.17920559442253,0,0,0,0,0,0,0,0,0,1
749,-0.12624884003257855,-0.6858182236350883,-0.17438304651540126,1.0571644784076781,0.011469386518001556,-0.06162622237978249,-0.8983442017653048,0,0,0,0,0,0,0,1,0,0
525,-0.7651201153204914,-1.3523041292918916,-0.8488667825593171,-0.26013419029448076,0.002357987221330405,0.920650463157475,-0.9580159735642836,0,0,0,0,0,1,0,0,0,0
428,0.6186002378991768,-0.05146330183938177,-0.17438304651540126,-1.5708970021448954,0.040303118526935584,-1.176852226578231,0.25886967503278785,0,0,0,0,1,0,0,0,0,0
245,0.17215393986260527,-0.4061467388840739,1.478763365356941,0.2713828501764826,0.05190051719546318,-0.7674172594287334,0.7010324532481957,0,0,1,0,0,0,0,0,0,0
998,-0.31406065644244674,-0.1983385196330125,-0.4187612117487038,0.9081994184541289,0.0017151943175122142,0.9060244571833923,-1.3134851195953225,0,0,0,0,0,0,0,0,0,1
500,-1.351068717204261,-0.4184243547627595,0.0932692296925024,-1.172873062139143,0.011621957644820213,-1.1834598576846067,-0.6038816857899328,0,0,0,0,0,1,0,0,0,0
364,0.3494969707735913,0.1172852168763058,0.0932692296925024,0.7344082716812178,0.0050749839283525935,0.5448618953382807,-0.9265566114066599,0,0,0,1,0,0,0,0,0,0
396,0.4703080633972579,0.46450128846281447,-0.8488667825593171,0.8475675952743409,0.008697661571204662,0.6776003274941784,0.7330690514087116,0,0,0,1,0,0,0,0,0,0
508,-0.12033237108630676,-0.26129145403009024,-0.6427745298792317,-0.9890516515285526,0.0008642267785035074,1.2329263579744518,-1.3722910373899633,0,0,0,0,0,1,0,0,0,0
471,0.8425702000917363,0.3081322033837459,-1.2152530095461358,-0.05231070997339723,0.04147336632013321,-0.8522410087831147,0.09089399819116423,0,0,0,0,1,0,0,0,0,0
950,0.8583400558604682,0.19347263511372353,0.0932692296925024,0.5845982351633693,0.012283884920179844,-1.4975666686904143,-1.2036659700450858,0,0,0,0,0,0,0,0,0,1
475,0.33493186441176553,0.8874055428284867,-1.3788182894509657,1.1403890419892895,0.07663816213607788,-1.1867764885466379,1.033664699914813,0,0,0,0,1,0,0,0,0,0
305,1.07383804256391,0.8494344529451385,-0.6427745298792317,0.31321210114480025,0.04601041227579117,-1.1241808408626075,1.0110803413016565,0,0,0,1,0,0,0,0,0,0
39,-2.4855696565650476,-1.511508054312274,-0.17438304651540126,-1.9147919840872014,0.0007772261160425843,2.683125141511616,-1.6341036419517463,1,0,0,0,0,0,0,0,0,0
251,-0.8972637004005373,-1.2732446474167116,0.38768673352119604,-0.029483922319269558,0.0019526901887729766,2.1628414269208682,-1.0605835958281873,0,0,1,0,0,0,0,0,0,0
40,0.5201391414861225,0.2365083373433072,-0.17438304651540126,-0.44186547743297516,0.005724778398871422,0.356785340149607,-0.1426340422289023,1,0,0,0,0,0,0,0,0,0
598,-0.4444769784419285,-0.6255917425337819,1.9333786286218375,0.7142375127958116,0.003413414349779487,1.060575442512988,-1.0884713102179158,0,0,0,0,0,1,0,0,0,0
862,-0.13381766536053963,0.8116374385834184,1.478763365356941,-2.649673574805439,0.026525111868977547,-1.263794122874676,-1.0245785001477878,0,0,0,0,0,0,0,0,1,0
798,0.834094326112714,0.25771124679108637,-0.17438304651540126,0.4959051944047177,0.0992392599582672,-1.1596750529248199,1.8959109792350028,0,0,0,0,0,0,0,1,0,0
474,0.964760986856763,1.1660909645618094,-1.0391057850332424,-0.23132658321945326,0.04358014091849327,-1.3579721682666677,0.16849616332998132,0,0,0,0,1,0,0,0,0,0
50,0.9415556898075094,0.2725109505732764,0.7130955535423843,0.6014989308635561,0.004335532896220684,0.28124820642214027,-0.4270670826540227,1,0,0,0,0,0,0,0,0,0
378,-0.5963084016445024,-0.5728063513402253,0.38768673352119604,-0.5889558305396871,0.007866809144616127,0.36798484616121435,-0.1811284681717744,0,0,0,1,0,0,0,0,0,0
725,0.2654132962798288,-0.5923812714756717,1.478763365356941,0.2893062896740648,0.03365278244018555,-0.5578303315907212,0.047493066223708635,0,0,0,0,0,0,0,1,0,0
346,0.14895099815100196,-0.028665612455513825,0.0932692296925024,1.051635839830791,0.008579937741160394,0.5973180597822015,0.2512212979944665,0,0,0,1,0,0,0,0,0,0
549,-0.8749304584143944,-2.06627615853311,0.0932692296925024,-2.127276226275124,0.006714606191962957,0.020539077397681082,-0.9302725681752784,0,0,0,0,0,1,0,0,0,0
260,0.6283827093338542,-0.44822265364640007,-2.4530443169340366,0.3177641843538517,0.0017339964397251606,1.7894383565710588,-1.4523103782908913,0,0,1,0,0,0,0,0,0,0
583,-0.11477017741008587,0.6200627653042242,-0.6427745298792317,-1.8335659433946958,0.06236157193779945,-1.085387734806255,1.0995778359950634,0,0,0,0,0,1,0,0,0,0
220,-0.03464806481797774,-0.1639463786817526,-0.8488667825593171,-0.15068818355512997,0.021659845486283302,-0.23810641545963346,-0.40412195153905867,0,0,1,0,0,0,0,0,0,0
473,0.867937441845881,0.5354525733997727,-1.3788182894509657,1.071462708391913,0.031166218221187588,-1.4000085935848814,-0.43092734842336416,0,0,0,0,1,0,0,0,0,0
120,-1.5574556081272548,-1.342552980575116,1.0746609091214812,-1.469223071989623,0.0005195181001909077,1.131172358533483,-0.8097384753213556,0,1,0,0,0,0,0,0,0,0
721,0.988651304274911,1.5421984636037702,-1.0391057850332424,-0.885051609958556,0.13370563089847565,-2.128915926227868,1.988629512199559,0,0,0,0,0,0,0,1,0,0
78,1.0667774132413275,0.4346409500850926,0.0932692296925024,0.7476220439159563,0.0100236926227808,0.20607350030917596,0.48175492664952985,1,0,0,0,0,0,0,0,0,0
887,0.029001170127318555,0.10902593552308551,-1.8061985369442304,0.41233906932720354,0.059775475412607186,-0.44975269140838625,0.4342051109112867,0,0,0,0,0,0,0,0,1,0
370,0.42965537645028457,0.9414842750045386,-0.6427745298792317,-0.052045223537945724,0.014651411212980747,-0.10043554284880415,0.7383724071852834,0,0,0,1,0,0,0,0,0,0
803,-0.11777526337796423,0.15586064441964512,1.478763365356941,1.4861734800248498,0.0060093333013355715,1.1778196548444855,-0.4493267460155523,0,0,0,0,0,0,0,0,1,0
206,1.0963220261596849,0.5241489775781625,-0.4187612117487038,0.3942106929320758,0.04107150062918663,-0.7269294692405137,0.6221315071028712,0,0,1,0,0,0,0,0,0,0
413,-0.05516622327687351,-0.4699923121195218,-0.8488667825593171,0.18999379149729528,0.005783883854746818,-0.06444125532962272,-0.16842927610814648,0,0,0,0,1,0,0,0,0,0
246,-0.3305549815850563,-0.05443134422387038,1.478763365356941,1.3338230798812105,0.013795253820717336,-0.09175099085532512,0.2925658267016187,0,0,1,0,0,0,0,0,0,0
599,-1.0819144680410593,-1.0135418511194587,0.7130955535423843,-0.19257565523297457,0.0016611346509307625,1.0837523760855536,-1.3741670543993627,0,0,0,0,0,1,0,0,0,0
493,-0.07360474621951224,1.19875877251581,-0.17438304651540126,-0.873950473203601,0.02045799978077412,0.2731755433363535,1.1583476765395233,0,0,0,0,1,0,0,0,0,0
349,0.5990030396669231,0.5213856655241421,0.0932692296925024,1.501901610635118,0.01318504847586155,0.48578417344754526,0.7556894872720488,0,0,0,1,0,0,0,0,0,0
889,0.3377154326140118,-0.11291342072689127,1.478763365356941,0.5752813690864497,0.0019378361757844687,-1.1166835533104782,-1.5690563598758343,0,0,0,0,0,0,0,0,1,0
198,-1.3986380910162206,-1.0869210699041973,-1.2152530095461358,0.8646953517416899,0.0022070773411542177,1.2556427668821226,0.4714729103480129,0,1,0,0,0,0,0,0,0,0
885,-0.32696809240955904,0.21129293238127098,-1.6732357932796593,0.35480381161823743,0.0043587717227637785,-0.6232271130230178,-0.10385099828458413,0,0,0,0,0,0,0,0,1,0
959,-0.5533119100796633,-0.4807349979269971,-0.17438304651540126,1.0279966792097,0.02102646604180336,-0.7225328073714531,-0.40985823431779966,0,0,0,0,0,0,0,0,0,1
320,0.062434839996699826,-0.4429788566437298,1.9333786286218375,0.003962710891040286,0.017658749595284462,0.022009406853632278,-0.009869761563701496,0,0,0,1,0,0,0,0,0,0
669,1.2329852605354197,0.9237373303152873,1.9333786286218375,0.16869161015670514,0.002545161871239543,-0.040821229062674436,-1.1932757219930268,0,0,0,0,0,0,1,0,0,0
711,-2.0860344038644723,-1.8735473681949038,0.0932692296925024,-0.9255375150890043,0.011637886054813862,0.5627833345387888,-0.39715904225417176,0,0,0,0,0,0,0,1,0,0
351,0.373660437743306,1.000406466977336,-0.6427745298792317,0.6971912653218034,0.018382519483566284,-0.015513523311983938,1.2891277084447823,0,0,0,1,0,0,0,0,0,0
541,-0.5779815541939134,-0.8636832635369199,-1.2152530095461358,-0.17790830595032625,0.0008761545177549124,0.5261874696229186,-0.07390688063455242,0,0,0,0,0,1,0,0,0,0
792,1.2490005355257445,1.3301905355416053,-0.6427745298792317,0.1279891239868099,0.07872122526168822,-1.4024042518009283,0.9939075702156143,0,0,0,0,0,0,0,1,0,0
272,0.06263274057126013,-0.4125196546790234,1.478763365356941,0.32794621017437386,0.003331232350319624,0.8354423210103742,-0.5114156935766422,0,0,1,0,0,0,0,0,0,0
7,-1.038767652561935,-0.8660717840590493,-1.3788182894509657,-0.2299246285339912,0.0014362075598910447,0.8810624030791734,-1.0090652825700606,1,0,0,0,0,0,0,0,0,0
324,0.162407633883379,-0.07291582901628801,0.38768673352119604,1.8609479500252915,0.03824770078063011,-0.4892437733146923,0.3951334489655225,0,0,0,1,0,0,0,0,0,0
434,1.440827123583401,1.131548469071953,-1.0391057850332424,0.7248096173701791,0.08507899940013885,-2.1178403211002914,1.6061745830333107,0,0,0,0,1,0,0,0,0,0
623,1.4625717864151868,1.8192580856539629,1.0746609091214812,-0.15233078383997775,0.013064325787127018,0.13264490467518583,0.6696091683407528,0,0,0,0,0,0,1,0,0,0
704,1.1428203362810385,0.06874624658351199,-0.6427745298792317,0.5807902126220976,0.04662103950977325,-1.0077038456437661,0.47847189688308056,0,0,0,0,0,0,0,1,0,0
398,0.09778475398515225,0.7630455522515552,0.0932692296925024,-0.046022873344248455,0.013036258518695831,0.2958588263039197,0.21229394504942528,0,0,0,1,0,0,0,0,0,0
899,0.6781935291983948,0.641951758568903,-0.17438304651540126,0.48709834174327415,0.021254729479551315,0.2520951558380538,0.858942577289387,0,0,0,0,0,0,0,0,1,0
136,-3.1217198555156664,-1.7070534376817705,0.0932692296925024,-3.0953777530181563,0.0008731489651836455,0.7711802958239526,-1.056867639059569,0,1,0,0,0,0,0,0,0,0
131,-2.071286787841354,-0.9234918903986788,-0.4187612117487038,-0.9874474769119904,0.0002754922898020596,-0.5214489425860528,-1.5356488262084493,0,1,0,0,0,0,0,0,0,0
939,0.5240515081580327,0.7825799642467485,1.0746609091214812,-0.4684024768363641,0.03842797875404358,-0.834632890585154,0.4566090832735394,0,0,0,0,0,0,0,0,0,1
677,1.001705490540563,0.7612146572997565,1.478763365356941,-0.714143552721531,0.016787422820925713,-0.3606171825707056,1.344109437720262,0,0,0,0,0,0,1,0,0,0
13,-0.16505710035418608,-1.3955825154247932,-0.6427745298792317,0.6066320567537092,0.0011908821761608126,0.4116528052013888,-1.2494840777746525,1,0,0,0,0,0,0,0,0,0
605,0.2973326000664243,0.5358678730719167,1.478763365356941,-0.2899963684881101,0.012261168099939823,-0.13260219149464203,0.732094965653831,0,0,0,0,0,0,1,0,0,0
516,-0.9789030913402109,-1.5814365999423918,-0.17438304651540126,-0.8423603043511448,0.0008390963776037098,1.567627377796986,-0.8083675398144866,0,0,0,0,0,1,0,0,0,0
275,0.8708515630493262,-0.08349867189195255,-1.2152530095461358,0.15950438219300372,0.005844811908900739,1.3181429544944856,0.23996519593806903,0,0,1,0,0,0,0,0,0,0
449,1.396358812847916,1.293858748054805,0.7130955535423843,-0.23166969726761175,0.03943697735667229,-1.0555865550937518,0.12163181534517267,0,0,0,0,1,0,0,0,0,0
705,-0.18043202517243673,-0.6791566417235598,-0.4187612117487038,-1.8275482508577623,0.024999354034662247,-0.32022840145616327,0.07260283234951835,0,0,0,0,0,0,0,1,0,0
197,-1.5437524161137293,-1.9153674612786946,-0.8488667825593171,0.3833090591417732,0.0008563340525142847,1.2811901115719264,-0.4240726708890195,0,1,0,0,0,0,0,0,0,0
601,0.8006741501235668,1.2027479119852351,1.478763365356941,-0.09694309403651047,0.029085621237754825,-0.19998242422876136,1.1751235978735772,0,0,0,0,0,0,1,0,0,0
476,0.15504922548707423,0.5623496135896121,-1.2152530095461358,0.33525950756736356,0.043765299022197716,-1.354700409773542,-0.16846535335832724,0,0,0,0,1,0,0,0,0,0
123,-1.723150896820123,-1.3648324577143063,-0.17438304651540126,-2.47384703202739,0.0002989170025102794,1.2611003051011547,-1.4211757113848944,0,1,0,0,0,0,0,0,0,0
134,-1.85850331037614,-1.2821148353175322,0.0932692296925024,-0.10349447641079454,0.00043035406270064414,1.9476130235089897,-0.7204833583741527,0,1,0,0,0,0,0,0,0,0
839,0.4051920970426937,1.5758676619798824,1.478763365356941,1.2705821926383865,0.0017653661780059335,0.5502810627929631,-1.858576292576442,0,0,0,0,0,0,0,0,1,0
664,-0.07181075630728295,0.7297332634355108,-1.2152530095461358,-0.20780153518903854,0.01887521706521511,-0.028972400986153925,1.759538973551726,0,0,0,0,0,0,1,0,0,0
596,-0.9005829860904624,-0.9785417231262029,0.7130955535423843,-0.5182984011789772,0.00287497416138649,1.6222236085027582,-0.6209462251254327,0,0,0,0,0,1,0,0,0,0
12,-0.4604730858568907,-1.3382952465901377,-1.3788182894509657,0.9407610968795949,0.000767435529269278,0.7402541040157727,-0.826586551155771,1,0,0,0,0,0,0,0,0,0
35,-1.3373506738006251,-1.105711737846816,0.38768673352119604,-0.4709738915072373,0.0009744797716848552,2.91637212084686,-1.3924942974911894,1,0,0,0,0,0,0,0,0,0
